country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Colombia,,,,,,,,,,,,,,,,,,,,,,,1.51,1.29,1.26,0.93,0.92,1.21,0.94,1.64,1.05,5.74,5.14,6.43,5.36,5.14,2.82,4.37,4.13,5.08,4.61,4.51,4.71,4.43,4.25,4.03,3.68,3.65
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,,,,,,,19.1,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,5.67,4.91,4.54,5.11,4.37,3.59,3.56,3.43,3.74,3.18,3.09,3.29,2.97,2.56,2.9,3.1,2.64,2.38,2.29,2.24,1.82,1.55,1.61,2.82,1.81,1.82,2.38,2.31,2.54,2.22,1.98
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,15.7,,,13.9,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.48,6.2,5.66,4.92,4.78,4.75,4.06,3.2,2.41,2.23,2.3,2.17,2.37,2.62,2.79,2.35,1.61,1.49,1.93,1.41,1.32
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.08,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,3.3,3.2,3.49,3.35,2.77,2.18,1.71,1.87,2.36,2.07,1.88,1.77,1.64,1.85,1.31,1.26,0.83
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.41,0.52,0.44,0.38,0.44,0.55,0.55,0.66,0.6,0.74,0.66,0.73,0.67,0.6,0.63,0.6,0.6,0.53,0.58,0.95,0.59,0.6,0.53,0.47
Denmark,,,,,,,,,,,,,,3.03,2.57,2.47,2.18,2.29,2.09,1.87,1.9,1.8,1.9,1.78,1.43,1.17,0.98,1.13,1.26,1.02,0.94,0.86,0.83,0.72,0.86,0.79,0.69,0.59,0.41,0.39,0.29,0.26,0.26,0.17,0.21,0.3,0.78,0.4
Dominica,,,,,,,,,,,,,,,,,,,,,,2.94,,,,,,1.88,,1.56,,1.52,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,5.45,5.26,5.36,4.56,4.24,2.5,3.69,2.45,2.18,1.64,1.39,1.32,1.3,1.4,2.72,2.24,2.32,3.3,1.8,1.93,1.82,1.63,1.55,1.51,2.24,2.04,1.88
Ecuador,,,,,,,,,,,,,,,,,,,4.06,4.39,6.53,6.05,6.97,6.41,6.33,6.97,6.54,4.81,6.66,5.68,11.4,12.6,5.17,8.73,11.5,9.77,11.7,10.4,10.5,10.6,9.33,9.08,9.78,9.43,8.18,9.98,11.9,12.6
Egypt,,,,,,,,,,,,,,,,,,,,,,,,14.2,13.8,13.2,,12.8,12.1,11.4,11.5,9.3,10.4,12.2,14,13,13.1,14.1,14.1,13.2,10.9,10.9,9.77,11.4,11.8,12.6,8.4,8.74
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,7.88,7.99,8.69,9.87,8.08,10.6,8.38,7.9,10.8,9.13,8.69,7.68,9.84,9.25,9.43,6.73,7.15,6.98,7.47,7.74,7.67,7.37,6.88,7.1,6.99
Equatorial Guinea,,,,,,,,,,,,,,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,,,,,,,
