country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23,8.04,6.87,6.78,9.01,8.85,8.09,7.95,7.55,7.69,8.28,8.11,8.01,5.78
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.22,0.17,0.2,0.11
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,,,,,,6.52,,,
Singapore,,,,,,,,,,,,,,,,,1.87,2.22,1.75,1.38,,1.08,0.95,0.9,1.09,1.17,1.2,1.06,1.11,1.15,0.36,1.02,0.86,0.82,0.78,,0.67,0.79,0.65,0.62,0.55,0.74,0.63,0.53,0.54,0.38,0.51,0.47
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.13,0.09,0.05,0.15,0.13,0.16,0.1,0.12,0.18,0.07,0.05,0.09,0.13,0.14,0.13,0.07,0.07,0.07,0.08,0.15,0.11,0.07
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,3.2,5.41,4.65,4.28,6.75,6.68,5.82,4.85,5.23,4.56,4.23,5.46,4.98,4.88,4.78,4.22,5.47,4.9,4.26,4.04,4.79,5.86,4.04,2.37,2.8
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,1.53,1.1,0.83,0.75,0.6,0.65,0.44,0.86,0.86,0.85,0.76,0.66,0.64,0.56,0.56,0.49,0.52
South Korea,26.9,26.4,27.2,27.5,26,25.1,24.3,21.9,20.3,18.8,18.8,19.1,18.3,16.8,15.4,14.6,14.2,13.3,12.8,12.1,11.4,10.6,10.1,10.6,10.1,9.53,9.32,9,10.2,9.49,9.12,8.62,8.09,7.62,6.85,6.56,6.32,6,5.89,5.66,5.27,5.11,5.01,4.83,4.65,4.37,4.24,4.13
Spain,,,,,,,,,,,,,,,,,6.8,6.71,6.48,6.01,5.39,4.99,4.48,4.45,4.12,3.65,3.4,2.97,2.74,2.37,2.09,1.88,1.75,1.62,1.43,1.6,1.34,1.07,1.02,0.91,0.82,0.75,0.7,0.67,0.59,0.56,0.48,0.46
Sri Lanka,,,,,,,,,,,,,,,,,,,,,13.8,10,11.2,10.4,9.8,9.4,9.98,9.48,13.6,12.2,13.1,10.6,10.7,9.92,9.35,7.96,10.5,10.3,10.8,10.6,10.4,10.8,8.86,9.07,8.92,,,7.99
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,0.62,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,2.76,1.83,1.81,1.98,1.82,1.05,1.06,0.95,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,1.17,,,,,,,,,,,2.29,,,,,,,,,,0.87,,,,,,,0.54,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,1.38,0.74,0.94,1.93,1.92,1.16,,,,,,,,,,,,,,,,,1.53,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,2.63,
Sweden,,,,,,,,,,,,,,,,,,0.44,0.39,0.34,0.33,0.34,0.38,0.48,0.51,0.53,0.55,0.51,0.51,0.52,0.47,0.45,0.47,0.41,0.44,0.33,0.27,0.28,0.25,0.21,0.25,0.21,0.23,0.22,0.22,0.25,0.26,0.25
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,2.94,2.85,2.82,2.5,2.58,2.57,2.35,2.04,2.04,2.21,2.36,1.96,2.19,2.02,2.14,2.07,2.15,2.05,1.97,1.99,2.05
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,,,,8.74,8.9,6.3,4.23,3.8,3.16,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,,,,,,0.43,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1.8,,,,,11.3,,,,,37.5,,31.9,35.5,,,
Thailand,,,,,,,,,,,,,,,,,,39.6,42.6,42.7,40.6,37.8,38.4,34.3,34,31.2,28.9,30.3,29.8,27.1,26.9,24.7,25.6,24.6,22.2,21.6,21.5,21.4,22.3,20.4,20.9,23.6,24,16.9,17.9,17.1,16.6,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,17.8,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,4.97,5.03,4.76,3.82,3.44,3.6,3.76,3.73,3.24,2.27,2.24,1.9,1.8,1.43,1.07,1.01,0.95,0.89,0.87,,,,0.71,0.67,0.73,0.5,0.46,0.4,0.31,0.43,
Tunisia,,,,,,,,,,,,,,,,,,,,8.85,,,,,0.93,,,,,7.84,7.4,7.87,7.11,8.72,3.56,6.32,6.91,5.45,4.41,4.59,5.84,4.29,4.34,3.77,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,22.6,20.9,19.6,19.8,16,13.1,12.7,12.7,13.5,13.6,13.7,13.2,12.6,12.2,11.7,11.2,11.1
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,26.1,,29.2,,,,3.87,,,16.3,26.6,,,,9.16
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.13,0.28,0.2,0.97,1.11,1.29,1.87,1.57,0.56,0.5,0.42,0.38,0.35,0.41,0.43,0.39,0.34,0.34,0.29,0.25,0.25,0.26
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0.01,0.06
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,0.7,0.59,0.57,0.54,0.48,0.44,0.38,0.37,0.4,0.35,0.34,0.3,0.35,0.33,0.33,0.34,0.34,0.3,0.32,0.35,0.36,0.37,0.38,0.33,0.37,0.36
United States,1.27,1.26,1.2,1.13,1.01,1.01,0.91,0.91,0.83,0.78,0.71,0.65,0.67,0.61,0.52,0.44,0.39,0.37,0.36,0.35,0.3,0.29,0.29,0.27,0.15,0.12,0.14,0.13,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.07,0.09,0.08,0.06,0.08,0.08,0.08,0.07,0.06,0.07,0.06,0.05
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,1.51,1.46,1.38,1.09,1.36,1.56,1.31,2.02,1.77,1.57,1.72,1.28,1.29,1.23,1.13,0.95,0.87,0.84,0.77
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,1.52,1.23,1.34,0.81,1.4,2.11,1.71,2.34,2.61,2.72,1.96,2.39,1.74,1.16,1.3,1.14,0.94,1.08,1.13,0.64,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,39.5,37.8,38.3,37,37.2,37.9,35.9,32.7,,,12.8,,16.9,19.4,18.5,17.4,17.2,21.4,17.2,16.1,15.6
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,11.4,,,
Zambia,,,,,,,,,,,,,,,,,,,,,37.4,29.6,,,,,27,,26.7,,41.6,,,19.6,,38,,,35.3,,23.6,,34.8,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,,14.6,,14.9,,,11.9,,,,,,,,,0.9,9.27,,1.53,,,
